กราฟฟิค แอนด์ ปริ้นติ้งเซ็นเตอร์ (บจก)
กุลวงศ์ (บจก)
เซ็นเตอร์ คอนเทนเนอร์ (บจก)
ท.ไทยเยนเนอร์ราล (1975) (บจก)
ไทยอ๊อฟเซท (บจก)
บางกอกไกด์ (หจก) 
สยามพรหมประทาน (บจก)
แสงอินเตอร์ ลามิเนต (บจก)
อินเตอร์อิ๊งค์ (บจก)
เอช แอนด์ ที คอร์ปอเรชั่น (บจก)
ไอด้า แปซิฟิค (บจก)  กระดาษ 
ชาญลิสซิ่ง (บจก)  การเงินและธนาคาร 
ธนาคารไทยพาณิชย์ จำกัด (มหาชน) สำนักงานงานใหญ่ ฝ่ายธุรกิจตลาดทุน (บมจ)  การเงินและธนาคาร 
กรุงเทพอุตสาหกรรมเมล็ดพันธุ์ (บจก)  เกษตร 
เกษตรนคร (บจก)  เกษตร 
เครือเบทาโกร (บจก)  เกษตร 
เคอรี่-กลอรี่ ฟลาวมิลล์ (บจก)  เกษตร 
เชียงใหม่โฟรเซ่นฟูดส์ (บจก)  เกษตร 
เชียงใหม่ฮิวโมสท์ (บจก)  เกษตร 
ซีดีไอ (หจก)  เกษตร 
ไทยคอมมอดิตี้ (บจก)  เกษตร 
ไทยออร์คิดส์ แล็ป (บจก)  เกษตร 
น้ำปลาพิไชย (บจก)  เกษตร 
น้ำมันรำข้าว สุรินทร์ (บจก)  เกษตร 
บางซื่อโรงสีไฟเจียเม้ง (บจก)  เกษตร 
บีโปรดักส์อินดัสตรี้ (สหกรณ์)  เกษตร 
เบทาโกร อโกรกรุ๊ป (บจก)  เกษตร 
มิตรผลวิจัย พัฒนาอ้อย และน้ำตาล (บจก)  เกษตร 
แม่โจ้ฟาร์ม (บจก)  เกษตร 
ยูนิซีดส์ (บจก)  เกษตร 
ลัดดา (บจก)  เกษตร 
ลีโอ ฟู้ดส์ (หจก)  เกษตร 
วิจัยและพัฒนาการเพาะเลี้ยงกุ้ง (บจก)  เกษตร 
วิจิตรภัณฑ์ปาล์มออยล์ (บจก)  เกษตร 
วุ้นบริสุทธิ์ (หจก)  เกษตร 
สหกรณ์โคนมไทย-เดนมาร์คอ่าวน้อย (สหกรณ์)  เกษตร 
สหกรณ์โคนมบ้านเนินดินแดง (สหกรณ์)  เกษตร 
อัพไทย อบาโลเน่ (บจก)  เกษตร 
เอ็ม. แคท. ไบโอ (บจก)  เกษตร 
ขอนแก่นเซรามิค (บจก)  แก้ว 
คอมพาวค์ เคลย์ (บจก)  แก้ว 
จิรภาเซรามิคส์ (บจก)  แก้ว 
ซี.ดี.เซรามิคแอนคราฟท์ (บจก)  แก้ว 
ต้นโพธิ์ แฮนดิคราฟท์ (บจก)  แก้ว 
ต้นโพธิ์เซรามิค (บจก)  แก้ว 
ที ดับบลิว เซรามิกส์ (บจก)  แก้ว 
ธารทิพย์เซรามิคส์ (บจก)  แก้ว 
บางกอกกล๊าส (บจก)  แก้ว 
บางกอกโมล์พัฒนาเซรามิค (หจก)  แก้ว 
ปูเป เซรามิกส์ (บจก)  แก้ว 
ภราดรอุตสาหกรรม (บจก)  แก้ว 
มีลาภ เซรามิค (หจก)  แก้ว 
ราชาเซรามิค  แก้ว 
ศาลาทอง เซรามิค (บจก)  แก้ว 
ส. สวัสดิ์มงคล เซรามิค (บจก)  แก้ว 
อินทราเซรามิค (บจก)  แก้ว 
อุตสาหกรรมแว่นตาไทย (บจก)  แก้ว 
เอส พี พี เซรามิค (บจก)  แก้ว 
เอส.ที.ซี. เซรามิค (หจก)  แก้ว 
แอ๊นท์และชะเอิง เซรามิคส์ (บจก)  แก้ว 
กรุงเทพการบิน (บจก)  ขนส่ง 
การท่าเรือแห่งประเทศไทย (รัฐวิสาหกิจ)  ขนส่ง 
การบินไทย จำกัด (มหาชน) ฝ่ายบริการลูกค้า (บมจ)  ขนส่ง 
เกียรติธนา ขนส่ง (บจก)  ขนส่ง 
ฟาร์อีสท์ คอนทรานส์ (บจก)  ขนส่ง 
ลีโอ ทรานสปอร์ต คอร์ปอเรชั่น (บจก)  ขนส่ง 
คิงเพาเวอร์ แท็กฟรี (บจก)  ค้าปลีก 
3114 เอ็นจิเนียริ่ง (บจก)  เครื่องจักรกล 
ซีมอ (บจก)  เครื่องจักรกล 
เดลแมกซ์แมชินเนอรี่ (บจก)  เครื่องจักรกล 
ไดน่าเมททอล (บจก)  เครื่องจักรกล 
ตากสิน สตีล แอนด์ อีควิปเมนท์ (บจก)  เครื่องจักรกล 
โตชูเซอร์วิส (บจก)  เครื่องจักรกล 
โตว่องไว (บจก)  เครื่องจักรกล 
ที.เอ็ม. เทรดดิ้ง (บจก)  เครื่องจักรกล 
ที.เอ็ม.ซี. อุตสาหกรรม (บจก)  เครื่องจักรกล 
ไทยแมชชีน โปรดักส์ (บจก)  เครื่องจักรกล 
ไทยเอเจนซี่ เอ็นจิเนียริ่ง (บจก)  เครื่องจักรกล 
พี เค แมคคานิกกา (บจก)  เครื่องจักรกล 
ฟีลาแพค (บจก)  เครื่องจักรกล 
มิตราคม (บจก)  เครื่องจักรกล 
รัตนนคร เอ็นจิเนียริ่ง (บจก)  เครื่องจักรกล 
